epoch,loss
133,-110.89174171232841
134,-111.90972809052803
135,-102.12585120805552
136,-108.23735512478251
137,-113.80920807744415
138,-112.95688000531264
139,-111.01227839563934
140,-115.42983729402783
141,-113.33073317836708
142,-115.61987326178752
143,-110.69765577853566
144,-112.48766300040232
145,-113.86728324352855
146,-116.0023712910397
147,-112.69805215110242
148,-112.89692902900804
149,-110.62163354981114
150,-116.44507281880983
151,-112.81342165235063
152,-110.90169971761568
153,-113.4785656458895
154,-115.99336323267977
155,-111.26179324405294
156,-117.42853578379456
157,-117.47865950893349
158,-114.66601433552486
159,-115.55821276382662
160,-116.75012674465985
161,-108.74641775749099
162,-112.44464796361788
163,-116.60484523504553
164,-116.12327317788568
165,-117.88432129336076
166,-116.08688153011698
167,-118.78506996262242
168,-116.46353041957802
169,-114.42586221829266
170,-118.68480816693373
171,-119.16009870717224
172,-115.75020379079899
173,-119.04799824029627
174,-118.33257309819611
175,-112.14021750571023
176,-117.51206497407296
177,-119.74633407592773
178,-118.863988553974
179,-113.63635329125633
180,-119.47911544584892
181,-119.40483566069267
182,-116.14600901536538
183,-115.97165964690733
184,-117.31506578687211
185,-121.0020292040328
186,-116.38544426501637
187,-119.10748487123301
188,-117.97143006660569
189,-117.94879945566956
190,-120.87170630441585
191,-110.7171885329233
192,-117.45276502152564
193,-120.54275749099087
194,-122.87025220629195
195,-117.45306063369966
196,-109.5424279360704
197,-120.56067619861012
198,-117.94093932568187
199,-121.79469444382359
200,-119.51971274362484
201,-119.20615064594108
202,-121.90306655453963
203,-118.49264032068388
204,-123.68879092579157
205,-116.31811759841274
206,-120.47711514755034
207,-121.71648100732078
208,-119.698673651252
209,-122.70201282769861
210,-121.75817924821881
211,-121.4184425783829
212,-113.56302516561159
213,-123.62375012250014
214,-123.84292543438119
215,-121.03494359405947
216,-120.12874792998946
217,-124.7634992465167
218,-118.6276242430781
219,-122.80320546324823
220,-123.3898425572355
221,-121.4478816583123
222,-124.39946580268968
223,-124.0194704834844
224,-122.06276987639951
225,-122.78431476002008
226,-123.53910644961076
227,-122.16495460187885
228,-124.96006296721983
229,-121.24792289733887
230,-122.27776153994279
231,-122.69053886306118
232,-124.67500675899882
233,-118.67376190507916
234,-123.78943225699412
235,-125.17319150038169
236,-124.84051535163127
237,-120.80645797622036
238,-123.1291012293856
239,-124.30281628353495
240,-124.22510936898244
241,-122.67795635277116
242,-124.33192938146456
243,-124.59761187056421
244,-122.55504476520377
245,-126.82697774322939
246,-122.42508338874495
247,-125.7865263173278
248,-125.41070733943455
249,-123.58936409211495
250,-123.15510107765735
251,-125.1760372108137
252,-125.42045141945422
253,-127.10088353761485
254,-125.63812202131244
255,-124.4485830387599
256,-125.22909325613102
257,-125.99675774910081
258,-125.5554666116204
259,-120.23426243285058
260,-126.22162945169798
261,-125.97667871394627
262,-127.92414286438849
263,-122.83046077674544
264,-124.19519703824756
265,-126.11745152003328
266,-125.01437998489595
267,-126.78981222233303
268,-128.10955047607422
269,-123.79699712404063
270,-126.64135285498391
271,-127.65789042728048
272,-128.39837184422453
273,-128.92256083958586
274,-128.13150524085677
275,-121.16652762721962
276,-125.3465609080355
277,-128.9446597032144
278,-123.20324887020487
279,-128.7512379498549
280,-129.24091134944433
281,-127.73222737916758
282,-122.1501851014688
283,-127.32040082904655
284,-130.5911636352539
285,-122.92391848228347
286,-129.96268532981335
287,-128.53261034253617
288,-130.07516930808484
289,-126.36162765932755
290,-130.6265488745461
291,-128.94215640215808
292,-127.15650945314219
293,-129.42456366310657
294,-131.9374582532426
295,-129.4491840416277
296,-122.10985225355121
297,-125.28198190474174
298,-130.3187156999615
299,-130.90765896649427
300,-128.13550473602726
