epoch,loss
1,51.56403272924289
2,3.3021798400391993
3,-10.261525139002734
4,-18.756744137952026
5,-26.056100187167317
6,-30.92879428326244
7,-36.57295084671235
8,-39.08336255248164
9,-43.7671291190134
10,-47.14618285273163
11,-49.23169544381155
12,-50.225592334505535
13,-54.39198931841783
14,-56.55284209990165
15,-59.39188215766155
16,-60.31945161416497
17,-60.47165356219654
18,-62.7224368511791
19,-63.969580435417065
20,-65.68240958200374
21,-61.92789835325429
22,-64.92527597722872
23,-66.96759540933958
24,-69.9023316074425
25,-68.52582573890686
26,-72.73278797848124
27,-72.24331764436104
28,-74.28507350867903
29,-70.31964007901473
30,-74.44615205576721
31,-74.67310241914132
32,-75.32733742619904
33,-78.08561967124402
34,-78.00994486204335
35,-78.31446220505406
36,-76.87982973246507
37,-77.6603704623773
38,-78.0952894452592
39,-80.36990517629704
40,-82.2615126488914
41,-81.15746119324591
42,-81.2593183920417
43,-82.87989024041404
44,-82.50545662893376
45,-79.87352384312052
46,-86.02042856350751
47,-83.5889891772203
48,-88.43499379762461
49,-88.54756551393321
50,-80.9074828456825
51,-86.47942459751182
52,-89.62795219958669
53,-91.06549265686895
54,-89.12696628839197
55,-90.7408751098203
56,-91.78863495840153
57,-87.9667838660764
58,-90.36276449284084
59,-91.98597416407625
60,-91.78914247432225
61,-92.89103491877167
62,-91.70007312633622
63,-94.62074731101453
64,-95.46795724143445
65,-94.4536202390429
66,-91.27079960661875
67,-89.59225063592615
68,-96.16259419078558
69,-98.11503300196688
70,-92.8751672313247
71,-95.49257622302419
72,-98.06201644682548
73,-96.507181355651
74,-98.95153856949068
75,-100.4079841828682
76,-96.71026742962044
77,-96.84570473012789
78,-96.49764169773586
79,-100.71788766350545
80,-101.8154791711082
81,-101.52818824875523
82,-99.10164489208812
83,-103.02060092335016
84,-96.32123627461178
85,-100.91828284465092
86,-104.21559723330216
87,-104.14981879650706
88,-100.63167252339107
89,-101.41868615486253
90,-98.49448363210114
91,-105.51236391739107
92,-104.09727803082534
93,-104.66900806695642
94,-104.46127174269985
95,-104.10243368820406
96,-104.47246922237773
97,-101.73510904715094
98,-104.36012525961432
99,-105.48415643396513
100,-104.51843056208651
101,-104.99555453448228
102,-106.81582042532908
103,-102.29509432550887
104,-105.28089691215837
105,-106.35388339405328
106,-105.0247798973406
107,-108.72181798370791
108,-104.36978904294295
109,-109.97765119310836
110,-110.24773766960897
111,-108.33793736847353
112,-109.66125402316241
113,-107.8720456512881
114,-104.35253852521869
115,-110.78799271919358
116,-110.72097289394326
117,-106.64639451470174
118,-109.72006335728605
119,-108.12175847443056
120,-108.91286170314736
121,-102.6010712930854
122,-107.23337452848193
123,-106.4641789718413
124,-110.7863579333668
125,-109.25811289397764
126,-109.86852224108199
127,-108.68110457944198
128,-106.81408887178125
129,-110.09803610788265
130,-110.45348530084314
131,-113.35729147682727
132,-112.16744704985283
